# People,Food,Where,Activity,# People,Transportation,Times
"Tuesday, July 28th",,,,,,
6,Dinner,House,-,,✔️,Booked
"Wednesday, July 29th",,,,,,
6,Breakfast,House,-,,-,-
-,Lunch,Town,Beach,,10:00-7:00,10:00-2:00
-,Dinner,Town,Town,,✔️,5:00-7:00
"Thursday, July 30th",,,,,,
6,Breakfast,House,-,,-,-
-,Lunch,Boat,Fishing (Kingfisher),4,✔️,7:00-4:30
6,Dinner,House (Fish),-,,-,-
"Friday, July 31th",,,,,,
6,Breakfast,House,-,,-,-
-,Lunch,Town,Beach,6,✔️,10:00-2:00
12,Dinner,House,-,,-,-
"Saturday, Aug 1st",,,,,,
12,Breakfast,House,-,,-,-
-,Lunch,Boat,Snorkeling (Private Catamaran),12,Included,8:00-3:00
12,Dinner (Cake),House,Pa's Birthday Celebration,12,-,-
"Sunday, Aug 2nd",,,,,,
12,Breakfast,House,Massages,2,9:00:00 AM,-
12,Lunch,House,Massages,2,10:30:00 AM,-
12,Dinner,House,Massages,2,12:00:00 PM,-
,,,Massages,2,1:30:00 PM,
"Monday, Aug 3rd",,,,,,
12,Breakfast,House,-,,-,-
-,Lunch,Town,Samara Hike,12,Included,10:00-2:00
-,Dinner,Town,,,✔️,5:00-7:00
"Tuesday, Aug 4th",,,,,,
12,Breakfast,House,-,,-,-
-,Lunch,Town,Beach/Macaws,4,Included,10:00-6:00
12,Dinner (Cake),House,Mimi's Birthday Celebration,12,-,-
"Wednesday, Aug 5th",,,,,,
12,Breakfast,House,-,,-,-
6,Lunch,House,-,,✔️,Booked